,scores
r2,0.3836169630642954
cv_avg,0.8577852348993288
1,0.8610738255033556
2,0.8590604026845637
3,0.8550335570469799
4,0.8523489932885906
5,0.8644295302013423
6,0.8570469798657718
7,0.8590604026845637
8,0.8516778523489933
9,0.8617449664429531
10,0.8563758389261745
