,scores
r2,0.78040674874601
cv_avg,0.8583221476510067
1,0.8610738255033556
2,0.8610738255033556
3,0.8557046979865772
4,0.8503355704697987
5,0.8657718120805369
6,0.8570469798657718
7,0.8583892617449664
8,0.8563758389261745
9,0.8604026845637583
10,0.8570469798657718
