,scores
r2,0.9011282051282051
cv_avg,0.9447692307692307
1,0.9323076923076923
2,0.9466666666666667
3,0.9492307692307692
4,0.9456410256410256
5,0.9497435897435897
6,0.9487179487179487
7,0.9507692307692308
8,0.943076923076923
9,0.936923076923077
10,0.9446153846153846
