n_sequences,Learning_rate,5-fold_cv_score,tn,fp,fn,tp
200,0.0001,0.8869743347167969,18232.0,1268.0,3140.0,16360.0
400,0.0001,0.8918589949607849,14621.0,960.0,2414.0,13205.0
