,scores
r2,0.47835897435897434
cv_avg,0.8695897435897436
1,0.857948717948718
2,0.8697435897435898
3,0.8825641025641026
4,0.8630769230769231
5,0.8748717948717949
6,0.8753846153846154
7,0.8707692307692307
8,0.8697435897435898
9,0.86
10,0.8717948717948718
