,scores
r2,0.39158974358974363
cv_avg,0.8461538461538461
1,0.8358974358974359
2,0.8420512820512821
3,0.8517948717948718
4,0.8466666666666667
5,0.8523076923076923
6,0.8405128205128205
7,0.8569230769230769
8,0.8476923076923077
9,0.8420512820512821
10,0.8456410256410256
