,scores
r2,-0.5288888888888885
cv_avg,0.6540697674418606
1,0.6540697674418605
2,0.6540697674418605
3,0.6540697674418605
4,0.6540697674418605
5,0.6540697674418605
6,0.6540697674418605
7,0.6540697674418605
8,0.6540697674418605
9,0.6540697674418605
10,0.6540697674418605
