,scores
r2,-0.019087955182072625
cv_avg,0.7476162790697675
1,0.8005813953488372
2,0.7988372093023256
3,0.7895348837209303
4,0.7828488372093023
5,0.7552325581395349
6,0.7305232558139535
7,0.7398255813953488
8,0.7389534883720931
9,0.6857558139534884
10,0.6540697674418605
